State_Num,County_Num,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Temp_Max
41,79,52.834920634920636,57.39126984126984,65.11746031746031,74.05396825396825,82.1420634920635,90.06825396825397,91.21269841269842,90.0436507936508,81.68968253968254,72.40714285714286,60.83968253968254,52.24523809523809,91.21269841269842
41,81,56.93015873015873,61.58253968253968,69.53412698412698,78.61666666666666,85.60714285714286,92.35634920634921,95.13333333333334,94.83730158730158,86.08730158730158,76.59444444444445,64.92539682539683,56.50079365079365,95.13333333333334
41,83,56.58730158730159,60.99920634920635,68.75238095238095,77.46746031746032,83.71746031746032,91.04047619047618,94.57936507936508,94.67301587301587,86.07619047619048,76.4452380952381,64.74047619047619,56.48888888888889,94.67301587301587
41,85,53.026984126984125,57.57698412698413,65.5968253968254,74.16587301587302,81.68095238095238,89.83650793650794,94.0952380952381,94.57222222222222,86.38492063492063,75.91269841269842,63.467460317460315,54.08174603174603,94.57222222222222
41,87,50.68174603174603,55.28015873015873,64.01428571428572,73.83650793650794,81.80396825396825,90.78968253968254,95.19444444444444,94.46349206349207,85.02142857142857,73.66825396825396,60.605555555555554,50.477777777777774,95.19444444444444
41,89,62.115873015873014,65.3984126984127,72.35634920634921,79.4,85.68015873015872,91.85238095238095,94.56746031746032,95.43333333333334,88.70476190476191,81.09761904761905,70.14444444444445,62.71111111111111,95.43333333333334
41,91,61.153174603174605,64.88571428571429,72.18333333333334,79.31666666666666,85.26031746031747,91.77063492063492,95.03333333333333,95.5936507936508,88.2468253968254,79.7388888888889,68.68174603174603,61.36190476190476,95.5936507936508
41,93,56.0452380952381,60.47539682539683,68.02539682539683,76.6126984126984,83.04285714285714,90.9484126984127,94.9063492063492,95.3468253968254,86.75238095238095,76.68888888888888,65.02063492063492,56.63253968253968,95.3468253968254
41,95,57.778571428571425,62.42301587301587,69.8547619047619,78.5,84.86031746031746,91.72936507936508,94.92222222222222,94.91904761904762,86.40793650793651,76.97698412698412,65.50873015873016,57.516666666666666,94.92222222222222
41,97,52.39126984126984,57.50079365079365,65.83809523809524,74.65793650793651,81.91825396825396,90.26825396825397,94.70793650793651,95.16269841269842,86.30952380952381,75.4952380952381,62.9,53.73809523809524,95.16269841269842
41,99,57.01904761904762,61.324603174603176,68.59206349206349,76.73492063492064,83.28095238095239,90.9936507936508,94.8547619047619,95.4484126984127,87.3436507936508,77.57301587301588,65.82301587301588,57.81269841269841,95.4484126984127
