areasymbol,average_county_soil_ph
OH023,6.486032706363171
ID069,6.346609033488433
WV067,5.016469833594335
MO135,6.193762374936154
MO221,5.594709098431371
GA141,5.263283288797212
PA007,5.333929996529666
CA653,7.5873949372960405
OH127,5.684265744112836
FL123,4.786393102316939
TX103,7.689937069298887
GA219,5.462130917911531
MS067,4.928314121146324
NC189,5.137259313792
AK270,4.686850606459241
ID013,NA
FL606,6.239135057054718
TX369,7.4963349845836165
IL049,6.163820387026438
IA055,6.4318308579561565
TN069,5.150273367641154
ID005,NA
PA097,5.261515275348767
OH093,5.733365190595607
AL085,6.1591329174758664
SC009,5.065648624405084
SD029,7.011767812351573
OH137,6.301945062620815
ME009,4.479476795730856
TX247,6.841320721993037
ND101,7.147501146651487
MS147,5.0180647258242885
DEWA,5.200620162979245
GA043,5.243806338423777
CO107,5.911650641448294
ID065,6.664587393806488
OR033,5.688917386029982
KY604,6.496622841673035
MI097,5.2085633768519575
MS093,5.210265569639778
MI147,6.52582886748363
MT009,7.378427038371902
NM017,7.44923860164394
NV021,NA
OR009,4.93368913590918
TX325,7.553290133951419
MT079,7.614075954355419
GA151,5.529302850892836
IA021,6.682260011195609
WI059,6.578944425564694
TX047,6.629817693630984
MT041,7.288689273497693
NM053,7.807765933697811
PA053,4.921024856585144
NM688,7.836671829537834
WY023,NA
UT045,8.331441649567132
NE085,7.170034059149328
IL147,6.487954716034052
KY095,5.098877245962407
NE055,6.799149269973847
MN141,6.07744843251404
KY183,5.773439892164166
MN133,6.811995305011954
TX407,5.244070231136533
AK100,4.060873826832549
GA277,5.390104808997479
KY191,6.3681953911726294
MS079,4.998124561015874
COWP,5.455521257069484
TN073,5.557794634883182
KS177,6.327149009145595
KY019,5.162202379109733
DE003,5.685180862362497
SC081,5.3290892486802415
PA111,5.125107928810991
CO103,7.211501504769705
WA075,6.914066908022874
SC091,5.606494721229722
WA051,5.6899398970667905
KS073,6.555921260519458
NC127,5.126017634318084
AZ007,NA
MN035,5.323378448095338
NC073,4.565501050635741
MN045,6.457867160026108
AK180,5.40788680329689
SD003,6.830817546682225
AL045,4.886978552943503
SD087,7.004716141688801
VA139,4.960125376684371
TX335,7.738333842374421
NY023,5.599829056203828
AL055,5.05205319645357
SD055,7.399168467653133
IA001,6.275771652462213
TX151,7.470712301601173
IA113,6.379417816084388
TN017,5.423891563742934
AR037,5.677656635184188
TN047,5.290743858191725
IN053,6.5899509589308805
ID782,5.504049988285771
IN029,6.186826833797586
HI009,5.853923829100965
KY640,5.287010326060174
GATE,NA
KS133,6.203218967373265
LA033,5.336954073774998
UT001,NA
MS035,4.908541283071439
TN015,5.714767187168798
ID053,7.276048504384398
OH143,6.465840647714393
TX251,7.39745229788517
NY107,5.764102300855654
ID043,6.11085134465107
SC021,5.455521257069484
NE171,6.621720533466766
MN049,6.5273346012498825
MS045,5.076187124593687
NM033,6.688239229706111
SC037,5.424454794939224
GA079,5.4305901190913035
CA083,NA
MN039,6.487807731168663
ID047,7.027945790531027
FL117,5.629613837583064
KS005,6.23540231758496
NE093,6.632874762058389
WI069,5.711189660333148
TX383,8.17984590232927
NJ003,5.1355651848947765
